stage_classifiercode,division,division_short_name,hhf,last_changed
08-02,OPEN,OPN,7.9667,2018-06-28 12:52:49.000000 UTC
08-02,LIMITED,LTD,7.2443,2018-06-28 12:52:49.000000 UTC
08-02,LIMITED 10,L10,7.2443,2019-05-01 09:43:26.000000 UTC
08-02,SINGLE STACK,SS,6.5293,2018-06-28 12:52:49.000000 UTC
08-02,REVOLVER,REV,5.0686,2018-06-28 12:52:49.000000 UTC
08-02,CARRY OPTICS,CO,6.937,2019-05-01 09:43:26.000000 UTC
08-03,PRODUCTION,PROD,11.2794,2019-05-01 09:41:55.000000 UTC
08-03,PCC,PCC,14.4461,2022-03-01 21:40:30.000000 UTC
08-03,REVOLVER,REV,8.7825,2019-05-01 09:41:55.000000 UTC
08-03,OPEN,OPN,12.0992,2019-05-01 09:41:55.000000 UTC
08-03,LIMITED,LTD,11.1488,2019-05-01 09:41:55.000000 UTC
08-03,SINGLE STACK,SS,10.8096,2019-05-01 09:41:55.000000 UTC
08-03,CARRY OPTICS,CO,11.2794,2019-05-01 09:43:26.000000 UTC
08-03,LIMITED 10,L10,11.1488,2019-05-01 09:43:26.000000 UTC
09-01,LIMITED,LTD,104.6,2019-05-01 09:41:55.000000 UTC
09-01,OPEN,OPN,113.9,2019-05-01 09:41:55.000000 UTC
09-01,PRODUCTION,PROD,94.5,2022-03-01 21:37:49.000000 UTC
09-01,REVOLVER,REV,78.3,2018-06-28 12:52:49.000000 UTC
09-01,SINGLE STACK,SS,101.4,2018-06-28 12:52:49.000000 UTC
09-01,CARRY OPTICS,CO,98.7,2022-03-01 21:39:07.000000 UTC
09-01,PCC,PCC,114.5,2022-03-01 21:41:02.000000 UTC
09-01,LIMITED 10,L10,104.6,2019-05-01 09:43:26.000000 UTC
09-02,PRODUCTION,PROD,12.1808,2019-05-01 09:41:55.000000 UTC
09-02,PCC,PCC,17.6098,2022-03-01 21:41:11.000000 UTC
09-02,REVOLVER,REV,8.7341,2019-05-01 09:41:55.000000 UTC
09-02,LIMITED,LTD,12.0548,2018-06-28 12:52:49.000000 UTC
09-02,OPEN,OPN,13.8549,2019-05-01 09:41:55.000000 UTC
09-02,CARRY OPTICS,CO,12.1808,2019-05-01 09:43:26.000000 UTC
09-02,SINGLE STACK,SS,12.1782,2019-05-01 09:41:55.000000 UTC
09-02,LIMITED 10,L10,12.0548,2019-05-01 09:43:26.000000 UTC
09-03,PCC,PCC,10.0826,2019-05-01 09:41:55.000000 UTC
09-03,CARRY OPTICS,CO,8.7705,2019-05-01 09:43:26.000000 UTC
09-03,LIMITED,LTD,8.9757,2018-06-28 12:58:58.000000 UTC
09-03,PRODUCTION,PROD,8.7705,2019-05-01 09:41:55.000000 UTC
09-03,REVOLVER,REV,7.3233,2018-06-28 12:52:49.000000 UTC
09-03,LIMITED 10,L10,8.9757,2019-05-01 09:43:26.000000 UTC
09-03,SINGLE STACK,SS,8.4821,2018-06-28 12:52:49.000000 UTC
09-03,OPEN,OPN,9.8904,2019-05-01 09:41:55.000000 UTC
09-04,LIMITED,LTD,12.8702,2018-06-28 12:52:49.000000 UTC
09-04,SINGLE STACK,SS,11.5073,2019-05-01 09:41:55.000000 UTC
09-04,OPEN,OPN,14.1402,2019-05-01 09:41:55.000000 UTC
09-04,PCC,PCC,15.8461,2022-03-01 21:40:27.000000 UTC
09-04,CARRY OPTICS,CO,12.1983,2019-05-01 09:43:26.000000 UTC
09-04,REVOLVER,REV,7.9565,2022-03-01 21:38:15.000000 UTC
09-04,PRODUCTION,PROD,12.1983,2019-05-01 09:41:55.000000 UTC
09-04,LIMITED 10,L10,12.8702,2019-05-01 09:43:26.000000 UTC
09-07,SINGLE STACK,SS,6.1486,2018-06-28 12:52:49.000000 UTC
09-07,LIMITED 10,L10,6.7559,2019-05-01 09:43:26.000000 UTC
09-07,OPEN,OPN,7.8158,2019-05-01 09:41:55.000000 UTC
09-07,LIMITED,LTD,6.7559,2018-06-28 12:52:49.000000 UTC
09-07,PCC,PCC,7.55,2022-03-01 21:41:04.000000 UTC
09-07,REVOLVER,REV,4.9809,2018-06-28 12:52:49.000000 UTC
09-07,PRODUCTION,PROD,6.2638,2018-06-28 12:52:49.000000 UTC
09-07,CARRY OPTICS,CO,6.6746,2022-03-01 21:39:13.000000 UTC
09-08,REVOLVER,REV,5.2426,2018-06-28 12:52:49.000000 UTC
09-08,LIMITED,LTD,9.1111,2018-06-28 12:52:49.000000 UTC
09-08,LIMITED 10,L10,9.1111,2019-05-01 09:43:26.000000 UTC
09-08,PCC,PCC,10.0017,2019-05-01 09:41:55.000000 UTC
09-08,CARRY OPTICS,CO,8.7305,2022-03-01 21:38:51.000000 UTC
09-08,PRODUCTION,PROD,7.644,2018-06-28 12:52:49.000000 UTC
09-08,OPEN,OPN,10.4804,2022-03-01 21:37:09.000000 UTC
09-08,SINGLE STACK,SS,7.3624,2018-06-28 12:52:49.000000 UTC
09-09,PCC,PCC,90,2019-05-01 09:41:55.000000 UTC
09-09,LIMITED,LTD,88.3,2018-06-28 12:52:49.000000 UTC
09-09,PRODUCTION,PROD,86.8,2018-06-28 12:52:49.000000 UTC
09-09,CARRY OPTICS,CO,86.8,2019-05-01 09:43:26.000000 UTC
09-09,REVOLVER,REV,72.8,2018-06-28 12:52:49.000000 UTC
09-09,LIMITED 10,L10,88.3,2019-05-01 09:43:26.000000 UTC
09-09,OPEN,OPN,89.1,2018-06-28 12:52:49.000000 UTC
09-09,SINGLE STACK,SS,84.3,2018-06-28 12:52:49.000000 UTC
09-10,LIMITED,LTD,11.7045,2019-05-01 09:41:55.000000 UTC
09-10,OPEN,OPN,12.8263,2018-06-28 12:52:49.000000 UTC
09-10,LIMITED 10,L10,11.7045,2019-05-01 09:43:26.000000 UTC
09-10,PRODUCTION,PROD,10.3643,2018-06-28 12:52:49.000000 UTC
09-10,REVOLVER,REV,6.9659,2018-06-28 12:52:49.000000 UTC
09-10,CARRY OPTICS,CO,11.1656,2022-03-01 21:39:09.000000 UTC
09-10,SINGLE STACK,SS,10.1504,2018-06-28 12:52:49.000000 UTC
09-10,PCC,PCC,11.0988,2022-03-01 21:41:19.000000 UTC
09-13,LIMITED,LTD,8.4284,2018-06-28 12:52:49.000000 UTC
09-13,SINGLE STACK,SS,7.8875,2018-06-28 12:52:49.000000 UTC
09-13,CARRY OPTICS,CO,8.0812,2022-03-01 21:40:01.000000 UTC
09-13,REVOLVER,REV,5.1886,2018-06-28 12:52:49.000000 UTC
09-13,LIMITED 10,L10,8.4284,2019-05-01 09:43:26.000000 UTC
09-13,PCC,PCC,7.7107,2022-03-01 21:40:25.000000 UTC
09-13,OPEN,OPN,9.6572,2018-06-28 12:52:49.000000 UTC
09-13,PRODUCTION,PROD,8.0547,2018-06-28 12:52:49.000000 UTC
09-14,PCC,PCC,13.3026,2022-03-01 21:41:35.000000 UTC
09-14,SINGLE STACK,SS,9.3639,2018-06-28 12:58:58.000000 UTC
09-14,LIMITED,LTD,9.566,2018-06-28 12:52:49.000000 UTC
09-14,LIMITED 10,L10,9.566,2019-05-01 09:43:26.000000 UTC
09-14,REVOLVER,REV,7.0196,2019-05-01 09:41:55.000000 UTC
09-14,PRODUCTION,PROD,8.649,2018-06-28 12:52:49.000000 UTC
09-14,CARRY OPTICS,CO,8.7433,2022-03-01 21:39:52.000000 UTC
09-14,OPEN,OPN,10.05,2019-05-01 09:41:55.000000 UTC
13-01,OPEN,OPN,10.8293,2019-05-01 09:41:55.000000 UTC
13-01,SINGLE STACK,SS,8.9366,2018-06-28 12:52:49.000000 UTC
