,code,title,div,total,avg,max,100%,GM,M,A,B,C,D
5,08-01,4 Bill Drill,SS,351,1.1293478632478633,6.476,0.2849002849002886,0.2849002849002886,1.1396011396011403,2.8490028490028436,6.837606837606842,17.948717948717956,61.53846153846154
6,08-01,4 Bill Drill,PCC,782,3.6754230179028133,8.769,0.3836317135549905,1.0230179028132937,4.47570332480818,12.659846547314572,29.411764705882348,61.892583120204606,92.1994884910486
7,08-01,4 Bill Drill,OPN,834,2.3905016786570745,7.2653,0.11990407673860659,0.5995203836930472,1.6786570743405207,5.275779376498804,16.067146282973624,41.60671462829736,82.37410071942446
0,08-02,Steeler Standards,PROD,1271,2.7890890637293473,13.1363,0.47206923682139745,0.550747442958297,1.5735641227380057,4.2486231313926055,17.702596380802518,52.71439811172305,92.28953579858378
1,08-02,Steeler Standards,PCC,1030,4.333653689320388,8.8701,0.4854368932038824,1.1650485436893234,5.145631067961162,14.368932038834956,40.97087378640777,76.11650485436893,95.24271844660194
2,08-02,Steeler Standards,OPN,1149,3.6905954743255007,16.8699,0.870322019147082,0.9573542210617916,1.6536118363794543,5.395996518711925,24.630113141862495,63.9686684073107,95.21322889469104
3,08-02,Steeler Standards,LTD,1854,2.844910787486515,7.5038,0.10787486515641831,0.2696871628910458,0.9708737864077648,3.9913700107874917,16.343042071197402,50.53937432578209,92.77238403451996
4,08-02,Steeler Standards,L10,221,2.662392760180995,10.8148,0.9049773755656076,0.9049773755656076,1.3574660633484115,2.714932126696837,12.66968325791855,43.43891402714932,90.9502262443439
5,08-02,Steeler Standards,SS,460,3.0081447826086953,10.8262,0.6521739130434838,1.3043478260869534,3.0434782608695627,9.130434782608688,26.304347826086953,61.08695652173913,95.43478260869566
6,08-02,Steeler Standards,REV,101,2.388139603960396,4.6734,0.0,0.0,1.9801980198019749,9.900990099009903,25.742574257425744,68.31683168316832,97.02970297029702
7,08-02,Steeler Standards,CO,2157,3.207858970792768,7.1111,0.1390820584144592,0.185442744552617,1.2053778395920318,5.795085767269356,24.89568845618915,65.55401019935096,96.43022716736208
0,08-03,Six,PROD,2766,4.676151735357918,10.989,0.0,0.03615328994938238,0.6507592190889397,4.121475054229933,18.727404193781638,54.519161243673175,94.17932031814895
1,08-03,Six,PCC,2151,7.798096327289635,26.3158,0.32543003254299663,0.7438400743840106,3.7192003719200386,12.13389121338912,40.539284053928405,79.7768479776848,97.11761971176198
2,08-03,Six,REV,209,4.372843540669857,8.9744,0.4784688995215305,0.4784688995215305,3.827751196172244,11.961722488038276,37.79904306220095,66.98564593301435,94.73684210526315
3,08-03,Six,OPN,2600,5.915608692307693,12.0833,0.0,0.3076923076923066,2.0,8.269230769230774,32.076923076923066,69.15384615384616,95.46153846153847
4,08-03,Six,LTD,4221,4.613789694385217,11.7647,0.047382136934373875,0.07107320540156081,1.2082444918265764,4.311774461028193,17.720919213456526,53.849798625918034,94.71689173181711
5,08-03,Six,SS,1028,4.889896887159534,10.9434,0.0972762645914429,0.1945525291828858,1.4591439688716008,5.05836575875486,25.097276264591443,61.08949416342413,95.8171206225681
6,08-03,Six,CO,3806,5.39053436678928,11.7188,0.07882291119285867,0.28901734104046284,1.7078297425118194,7.593273778244878,28.71781397792958,67.28849185496586,96.08512874408828
7,08-03,Six,L10,486,4.542746296296297,11.1111,0.0,0.4115226337448519,1.6460905349794217,4.115226337448561,17.28395061728395,49.794238683127574,95.88477366255144
0,09-01,Six In Six Challenge,LTD,1489,46.695097380792475,108.0,0.2686366689053017,0.6715916722632613,1.9476158495634621,5.439892545332441,25.184687709872406,60.10745466756212,96.10476830087306
1,09-01,Six In Six Challenge,OPN,895,63.54023150837989,119.0,0.33519553072625285,1.4525139664804527,6.256983240223462,15.977653631284909,45.69832402234637,80.44692737430168,96.31284916201118
2,09-01,Six In Six Challenge,PROD,831,46.584837545126355,99.0,0.3610108303249149,1.0830324909747304,4.211793020457279,11.91335740072202,33.33333333333333,68.47172081829122,96.87123947051745
3,09-01,Six In Six Challenge,REV,86,44.24418604651163,84.0,2.3255813953488342,4.6511627906976685,17.441860465116278,26.74418604651163,53.48837209302325,77.90697674418605,91.86046511627907
4,09-01,Six In Six Challenge,SS,339,50.99779262536873,104.0,0.2949852507374686,0.8849557522123916,2.654867256637175,9.439528023598825,31.26843657817109,71.976401179941,97.6401179941003
5,09-01,Six In Six Challenge,CO,1657,51.136536873868444,120.0,0.48280024140012756,0.9656004828002409,4.828002414001205,11.88895594447797,36.692818346409176,73.26493663246832,96.92214846107423
6,09-01,Six In Six Challenge,PCC,804,74.24253731343283,120.0,0.24875621890546995,1.990049751243788,12.68656716417911,33.457711442786064,69.5273631840796,89.55223880597015,97.01492537313433
7,09-01,Six In Six Challenge,L10,128,46.125,90.0,0.0,0.0,0.78125,4.6875,23.4375,64.84375,93.75
0,09-02,Diamond Cutter,PROD,2836,4.003188117066291,13.3333,0.1057827926657211,0.17630465444287324,0.7052186177715072,2.7150916784203076,12.588152327221437,41.713681241184766,84.3441466854725
1,09-02,Diamond Cutter,PCC,2006,7.205306879361914,20.0,0.1495513459621094,0.3988035892323012,1.3459621136590272,3.8384845463609167,18.19541375872383,55.982053838484546,93.8185443668993
2,09-02,Diamond Cutter,REV,213,3.553208450704225,11.1455,1.4084507042253591,2.3474178403755843,5.164319248826288,12.206572769953056,23.47417840375587,53.051643192488264,87.32394366197182
3,09-02,Diamond Cutter,LTD,3983,4.059607155410495,12.9496,0.07532011046949094,0.301280441877978,1.280441877981417,3.8915390409239308,14.210394175244787,42.2545819733869,83.98192317348732
4,09-02,Diamond Cutter,OPN,2148,5.585444459962756,14.3426,0.0931098696461845,0.2793296089385535,1.2104283054003702,5.726256983240219,22.532588454376167,54.18994413407822,88.73370577281192
5,09-02,Diamond Cutter,CO,3162,4.996374573055029,12.9032,0.1897533206831099,0.5060088551549597,1.5812776723592634,5.281467425679949,21.22074636306135,55.8191018342821,90.7337128399747
6,09-02,Diamond Cutter,SS,985,4.4504876142131975,12.3377,0.10152284263959643,0.4060913705583715,1.6243654822335003,4.670050761421322,16.649746192893403,47.81725888324873,87.20812182741116
